Continent,AP,AM,DB,TP,AV,Helicopters,NS,RP,Tanks,TAS
Asia,11042500,2247838644,6.15836E+11,4549664876,175612,6868,4741,6831500,46824,19946
Europe,2847200,360797477,4.69723E+11,763885799,112144,4555,2633,2569000,22688,11832
North America,1890500,254961234,8.05545E+11,568248501,52474,5876,881,701000,8148,14421
South America,1178300,210644305,43023488000,429381965,8889,818,1127,1715000,1879,2410
Africa,2259000,520587331,43380033681,1261500460,36195,1511,1086,1030000,13206,3916
Oceania,68600,12986509,48318000000,30801415,2265,155,52,22500,59,477
