Country,AP,AM,DB,TP,DB/TP,(AP/TP)*100,Continent,AP,Active Personnel
Moldova,6000,1994325,47640000,3323875,14.33266895,0.180512203,Europe,,
Mongolia,9000,1823380,91980000,3198913,28.75351721,0.28134557,Asia,,
Montenegro,2000,145,74074500,607414,121.9505971,0.329264719,Europe,,
Morocco,200000,17549670,5438823613,36561813,148.7569452,0.547018825,Africa,,
Mozambique,11000,13590735,140200000,30888034,4.538974543,0.035612496,Africa,,
Myanmar,400000,30246622,2285700000,57069099,40.05144711,0.700904705,Asia,,
Namibia,12500,589202,363800000,2678191,135.8379593,0.466732955,Africa,,
Nepal,95000,14908190,437580000,30424878,14.38230911,0.312244473,Asia,,
Netherlands,35000,7801831,14260000000,17337403,822.4991944,0.201875679,Europe,,
New Zealand,9600,2146320,3700000000,4991442,741.2687556,0.192329191,Oceania,,
Nicaragua,12000,3059526,88340000,6243931,14.14813841,0.192186621,North America,,
Niger,10000,7081730,287280000,23605767,12.16990746,0.042362529,Africa,,
Nigeria,135000,116315847,5875755689,219463862,26.77322651,0.061513544,Africa,,
North Korea,1200000,9299290,4500000000,25831360,174.2068555,4.645516148,Asia,,
North Macedonia,7500,944948,192639000,2128262,90.51470167,0.352400221,Europe,,
Norway,23000,2203836,8300000000,5509591,1506.46391,0.417453855,Europe,,
Oman,40000,1404007,8396300000,3694755,2272.491681,1.082615762,Asia,,
Pakistan,640000,102417845,7690148664,238181034,32.28699,0.268703175,Asia,,
Panama,0,1767891,741160000,3928646,188.6553281,0,North America,,
Paraguay,14000,3418140,353000000,7272639,48.53808913,0.192502336,South America,,
Peru,95000,15456588,1830000000,32201224,56.83013789,0.295019841,South America,,
Philippines,130000,47651880,4390000000,110818325,39.61438688,0.117309118,Asia,,
Poland,120000,18711097,14500000000,38185913,379.7211815,0.314252012,Europe,,
Portugal,30500,5172401,3360000000,10344802,324.8008033,0.294834063,Europe,,
Qatar,14000,619999,5856000000,2479995,2361.295083,0.564517267,Asia,,
Romania,67000,11039788,5148090000,21230362,242.4871512,0.315585763,Europe,,
Russia,850000,69737187,1.54E+11,142320790,1082.062571,0.597242328,Europe,,
Saudi Arabia,225000,18087554,46000000000,34783757,1322.456341,0.646853645,Asia,,
Serbia,25000,3417402,1059200000,6974289,151.872112,0.358459479,Europe,,
Sierra Leone,9000,1497601,19325000,6807277,2.838873752,0.132211455,Africa,,
Singapore,60000,3812990,11560000000,5866139,1970.63179,1.022819268,Asia,,
Slovakia,13000,2772394,2092000000,5436066,384.837123,0.239143528,Europe,,
Slovenia,7000,1009011,581680000,2102106,276.7129726,0.332999383,Europe,,
Somalia,17500,2781767,63934000,12094640,5.286143283,0.144692194,Africa,,
South Africa,72000,26210172,2910671379,56978635,51.08355753,0.126363153,Africa,,
South Korea,555000,25857581,46320000000,51715162,895.6754307,1.073186235,Asia,,
S. Sudan,175000,5492037,276000000,10984074,25.12728884,1.593215778,Africa,,
Spain,120000,21739869,11750000000,47260584,248.6215574,0.253911378,Europe,,
Sri Lanka,250000,11061179,1860000000,23044123,80.7147228,1.084875306,Asia,,
Sudan,100000,24778111,287210000,46751152,6.143378028,0.213898472,Africa,,
Suriname,1800,135245,41888000,614749,68.13837843,0.292802428,South America,,
Sweden,16000,4104707,8600000000,10261767,838.0622947,0.155918566,Europe,,
Switzerland,24000,3719606,5984000000,8453650,707.8599185,0.283901037,Europe,,
Syria,100000,13045962,2020500000,20384316,99.12032368,0.490573243,Asia,,
Taiwan,170000,12257467,16800000000,23572052,712.7084227,0.721193047,Asia,,
Tajikistan,9500,4135802,90134000,8990874,10.02505429,0.105662698,Asia,,
Tanzania,26000,11176697,748920000,62092761,12.06130937,0.041872836,Africa,,
Thailand,350000,36129870,2933064054,69480520,42.21419261,0.503738314,Asia,,
Tunisia,36000,5905668,1177200000,11811335,99.66697245,0.304791965,Africa,,
Turkey,425000,42148498,9690000000,82482383,117.479632,0.515261544,Asia,,
Turkmenistan,30000,2689506,407070000,5579889,72.95306412,0.537645104,Asia,,
Uganda,47000,15202129,934250000,44712143,20.89477125,0.105116858,Africa,,
Ukraine,200000,22310276,11870000000,43745640,271.3413268,0.457188419,Europe,,
United Arab Emirates,65000,5716835,25266000000,9856612,2563.355441,0.659455805,Asia,,
United Kingdom,194000,30857260,68000000000,67081000,1013.699855,0.289202606,Europe,,
United States of America,1390000,147399295,7.70E+11,334998398,2298.518454,0.414927357,North America,,
Uruguay,22000,1563190,1072600000,3398239,315.6340681,0.647394136,South America,,
Uzbekistan,55000,16038254,692520000,30842796,22.45321728,0.178323651,Asia,,
Venezuela,137500,14534577,1929600000,29069153,66.37964305,0.473009998,South America,,
Vietnam,470000,53450591,6237600000,102789598,60.68318314,0.457244711,Asia,,
Yemen,45000,11551712,1010070000,30399243,33.22681423,0.148030002,Asia,,
Zambia,16500,6677236,251160000,19077816,13.16502895,0.086487887,Africa,,
Zimbabwe,30000,5635395,117390000,14829988,7.915717801,0.202292814,Africa,,
