Continent,AP,AM,DB,TP,AV,Helicopters,NS,RP,Tanks,TAS,RocPro,SPA,PV,Submarines,NS,FI
Asia,11042500,2247838644,6.15836E+11,4549664876,175612,8139,4741,6831500,46824,19946,14237,14874,1911,243,4741,19946
North America,1890500,254961234,8.05545E+11,568248501,52474,6790,881,701000,8148,14421,1549,1598,274,73,881,14421
South America,1178300,210644305,43023488000,429381965,8889,856,1127,1715000,1879,2410,321,376,544,34,1127,2410
Europe,2847200,360797477,4.69723E+11,763885799,112144,5546,2633,2569000,22688,11832,6220,11505,532,139,2633,11832
Oceania,68600,12986509,48318000000,30801415,2265,177,52,22500,59,477,0,0,16,6,52,477
Africa,2259000,520587331,43380033681,1261500460,36195,1799,1086,1030000,13206,3916,2910,2708,482,17,1086,3916
